fare_type,applicable_time,distance,fare_per_ride,Min,Max
Adult card fare,All other timings,23.3 km - 24.2 km,218,23.3,24.2
Adult card fare,All other timings,24.3 km - 25.2 km,220,24.3,25.2
Adult card fare,All other timings,25.3 km - 26.2 km,222,25.3,26.2
Adult card fare,All other timings,26.3 km - 27.2 km,223,26.3,27.2
Adult card fare,All other timings,27.3 km - 28.2 km,224,27.3,28.2
Adult card fare,All other timings,28.3 km - 29.2 km,225,28.3,29.2
Adult card fare,All other timings,29.3 km - 30.2 km,226,29.3,30.2
Adult card fare,All other timings,30.3 km - 31.2 km,227,30.3,31.2
Adult card fare,All other timings,31.3 km - 32.2 km,228,31.3,32.2
Adult card fare,All other timings,32.3 km - 33.2 km,229,32.3,33.2
Adult card fare,All other timings,33.3 km - 34.2 km,230,33.3,34.2
Adult card fare,All other timings,34.3 km - 35.2 km,231,34.3,35.2
Adult card fare,All other timings,35.3 km - 36.2 km,232,35.3,36.2
Adult card fare,All other timings,36.3 km - 37.2 km,233,36.3,37.2
Adult card fare,All other timings,37.3 km - 38.2 km,234,37.3,38.2
Adult card fare,All other timings,38.3 km - 39.2 km,235,38.3,39.2
Adult card fare,All other timings,39.3 km - 40.2 km,236,39.3,40.2
Adult card fare,All other timings,Over 40.2 km,237,40.2,999.0
Senior citizen card fare,Before 7.45am  (Weekdays excluding public holidays),Up to 3.2 km,15,0.0,3.2
Senior citizen card fare,Before 7.45am  (Weekdays excluding public holidays),3.3 km - 4.2 km,22,3.3,4.2
Senior citizen card fare,Before 7.45am  (Weekdays excluding public holidays),4.3 km - 5.2 km,30,4.3,5.2
Senior citizen card fare,Before 7.45am  (Weekdays excluding public holidays),5.3 km - 6.2 km,37,5.3,6.2
Senior citizen card fare,Before 7.45am  (Weekdays excluding public holidays),6.3 km - 7.2 km,43,6.3,7.2
Senior citizen card fare,Before 7.45am  (Weekdays excluding public holidays),7.3 km - 8.2 km,49,7.3,8.2
Senior citizen card fare,Before 7.45am  (Weekdays excluding public holidays),8.3 km - 9.2 km,49,8.3,9.2
Senior citizen card fare,Before 7.45am  (Weekdays excluding public holidays),9.3 km - 10.2 km,49,9.3,10.2
