stationName,stationId,Distance,stationLine
LITTLE INDIA MRT STATION,NE7,6.3,NE
FARRER PARK MRT STATION,NE8,7.1,NE
BOON KENG MRT STATION,NE9,8.2,NE
JURONG EAST MRT STATION,NS1,0,NS
ADMIRALTY MRT STATION,NS10,17,NS
SEMBAWANG MRT STATION,NS11,19.4,NS
CANBERRA MRT STATION,NS12,20.9,NS
YISHUN MRT STATION,NS13,22.6,NS
KHATIB MRT STATION,NS14,24,NS
YIO CHU KANG MRT STATION,NS15,20.4,NS
ANG MO KIO MRT STATION,NS16,19,NS
BISHAN MRT STATION,NS17,16.6,NS
BRADDELL MRT STATION,NS18,16.2,NS
TOA PAYOH MRT STATION,NS19,15.3,NS
BUKIT BATOK MRT STATION,NS2,2.1,NS
NOVENA MRT STATION,NS20,13.9,NS
NEWTON MRT STATION,NS21,12.7,NS
ORCHARD MRT STATION,NS22,13.9,NS
SOMERSET MRT STATION,NS23,14.9,NS
DHOBY GHAUT MRT STATION,NS24,15.1,NS
CITY HALL MRT STATION,NS25,16.1,NS
RAFFLES PLACE MRT STATION,NS26,15.2,NS
MARINA BAY MRT STATION,NS27,15.1,NS
MARINA SOUTH PIER MRT STATION,NS28,16.5,NS
BUKIT GOMBAK MRT STATION,NS3,3.3,NS
CHOA CHU KANG MRT STATION,NS4,6.6,NS
YEW TEE MRT STATION,NS5,8,NS
KRANJI MRT STATION,NS7,12.1,NS
MARSILING MRT STATION,NS8,12.8,NS
WOODLANDS MRT STATION,NS9,15.3,NS
COVE LRT STATION,PE1,1,PE
MERIDIAN LRT STATION,PE2,1.4,PE
CORAL EDGE LRT STATION,PE3,1.9,PE
RIVIERA LRT STATION,PE4,2.5,PE
KADALOOR LRT STATION,PE5,2,PE
OASIS LRT STATION,PE6,1.5,PE
DAMAI LRT STATION,PE7,0.9,PE
PUNGGOL LRT STATION,PTC,0,PE
PUNGGOL LRT STATION,PTC,0,PW
SAM KEE LRT STATION,PW1,0.6,PW
TECK LEE LRT STATION,PW2,1,PW
PUNGGOL POINT LRT STATION,PW3,1.5,PW
SAMUDERA LRT STATION,PW4,2.1,PW
NIBONG LRT STATION,PW5,1.8,PW
SUMANG LRT STATION,PW6,1.4,PW
SOO TECK LRT STATION,PW7,1,PW
COMPASSVALE LRT STATION,SE1,0.8,SE
RUMBIA LRT STATION,SE2,1.5,SE
BAKAU LRT STATION,SE3,2,SE
KANGKAR LRT STATION,SE4,1.9,SE
RANGGUNG LRT STATION,SE5,1,SE
SENGKANG LRT STATION,STC,0,SE
SENGKANG LRT STATION,STC,0,SW
CHENG LIM LRT STATION,SW1,0.8,SW
FARMWAY LRT STATION,SW2,1.3,SW
KUPANG LRT STATION,SW3,2.2,SW
THANGGAM LRT STATION,SW4,2.9,SW
FERNVALE LRT STATION,SW5,2.7,SW
LAYAR LRT STATION,SW6,2.2,SW
TONGKANG LRT STATION,SW7,1.5,SW
RENJONG LRT STATION,SW8,0.9,SW
WOODLANDS NORTH MRT STATION,TE1,0,TE
STEVENS MRT STATION,TE11,19.2,TE
NAPIER MRT STATION,TE12,20.9,TE
ORCHARD BOULEVARD MRT STATION,TE13,21.8,TE
ORCHARD MRT STATION,TE14,22,TE
GREAT WORLD MRT STATION,TE15,16.2,TE
HAVELOCK MRT STATION,TE16,23.8,TE
OUTRAM PARK MRT STATION,TE17,24.8,TE
MAXWELL MRT STATION,TE18,25.4,TE
SHENTON WAY MRT STATION,TE19,26.2,TE
WOODLANDS MRT STATION,TE2,1.4,TE
MARINA BAY MRT STATION,TE20,26.2,TE
GARDENS BY THE BAY MRT STATION,TE22,27.9,TE
WOODLANDS SOUTH MRT STATION,TE3,2.9,TE
SPRINGLEAF MRT STATION,TE4,7.3,TE
LENTOR MRT STATION,TE5,9.8,TE
MAYFLOWER MRT STATION,TE6,11.5,TE
BRIGHT HILL MRT STATION,TE7,12.7,TE
UPPER THOMSON MRT STATION,TE8,14.1,TE
CALDECOTT MRT STATION,TE9,16.2,TE
